#auto generated file!
600.0;2.0833333333333335;0.0;0.0
606.0;2.7777777777777777;0.0;0.0
612.0;2.0833333333333335;0.0;0.0
618.0;2.0833333333333335;0.0;0.0
624.0;2.0833333333333335;0.0;0.0
630.0;1.7361111111111112;0.0;0.0
636.0;1.7361111111111112;0.0;0.0
642.0;1.7361111111111112;0.0;0.0
648.0;2.4305555555555554;0.0;0.0
654.0;2.0833333333333335;0.0;0.0
660.0;1.3888888888888888;0.0;0.0
666.0;1.7361111111111112;0.0;0.0
672.0;2.0833333333333335;0.0;0.0
678.0;2.0833333333333335;0.0;0.0
684.0;1.7361111111111112;0.0;0.0
690.0;1.3888888888888888;0.0;0.0
696.0;1.7361111111111112;0.0;0.0
702.0;2.0833333333333335;0.0;0.0
708.0;1.3888888888888888;0.0;0.0
714.0;2.7777777777777777;0.0;0.0
720.0;1.7361111111111112;0.0;0.0
726.0;1.7361111111111112;0.0;0.0
732.0;3.125;0.0;0.0
738.0;2.0833333333333335;0.0;0.0
744.0;1.3888888888888888;0.0;0.0
750.0;1.3888888888888888;0.0;0.0
756.0;1.7361111111111112;0.0;0.0
762.0;2.4305555555555554;0.0;0.0
768.0;2.0833333333333335;0.0;0.0
774.0;1.7361111111111112;0.0;0.0
780.0;2.0833333333333335;0.0;0.0
786.0;1.7361111111111112;0.0;0.0
792.0;3.125;0.0;0.0
798.0;1.7361111111111112;0.0;0.0
804.0;2.7777777777777777;0.0;0.0
810.0;2.4305555555555554;0.0;0.0
816.0;3.125;0.0;0.0
822.0;1.7361111111111112;0.0;0.0
828.0;2.4305555555555554;0.0;0.0
834.0;2.4305555555555554;0.0;0.0
840.0;2.7777777777777777;0.0;0.0
846.0;2.7777777777777777;0.0;0.0
852.0;2.7777777777777777;0.0;0.0
858.0;2.0833333333333335;0.0;0.0
864.0;2.0833333333333335;0.0;0.0
870.0;1.7361111111111112;0.0;0.0
876.0;1.0416666666666667;0.0;0.0
882.0;2.0833333333333335;0.0;0.0
888.0;1.3888888888888888;0.0;0.0
894.0;2.0833333333333335;0.0;0.0
900.0;1.7361111111111112;0.0;0.0
906.0;1.7361111111111112;0.0;0.0
912.0;3.125;0.0;0.0
918.0;2.4305555555555554;0.0;0.0
924.0;2.0833333333333335;0.0;0.0
930.0;2.4305555555555554;0.0;0.0
936.0;2.4305555555555554;0.0;0.0
942.0;2.0833333333333335;0.0;0.0
948.0;2.4305555555555554;0.0;0.0
954.0;1.7361111111111112;0.0;0.0
960.0;2.0833333333333335;0.0;0.0
966.0;1.3888888888888888;0.0;0.0
972.0;2.7777777777777777;0.0;0.0
978.0;2.0833333333333335;0.0;0.0
984.0;1.7361111111111112;0.0;0.0
990.0;2.4305555555555554;0.0;0.0
996.0;2.7777777777777777;0.0;0.0
1002.0;2.0833333333333335;0.0;0.0
1008.0;1.3888888888888888;0.0;0.0
1014.0;3.4722222222222223;0.0;0.0
1020.0;3.4722222222222223;0.0;0.0
1026.0;2.0833333333333335;0.0;0.0
1032.0;1.7361111111111112;0.0;0.0
1038.0;2.4305555555555554;0.0;0.0
1044.0;0.6944444444444444;0.0;0.0
1050.0;2.7777777777777777;0.0;0.0
1056.0;3.4722222222222223;0.0;0.0
1062.0;2.4305555555555554;0.0;0.0
1068.0;3.125;0.0;0.0
1074.0;1.3888888888888888;0.0;0.0
1080.0;1.7361111111111112;0.0;0.0
1086.0;1.7361111111111112;0.0;0.0
1092.0;3.125;0.0;0.0
1098.0;1.3888888888888888;0.0;0.0
1104.0;1.3888888888888888;0.0;0.0
1110.0;2.4305555555555554;0.0;0.0
1116.0;2.0833333333333335;0.0;0.0
1122.0;2.0833333333333335;0.0;0.0
1128.0;1.7361111111111112;0.0;0.0
1134.0;1.7361111111111112;0.0;0.0
1140.0;3.125;0.0;0.0
1146.0;2.0833333333333335;0.0;0.0
1152.0;1.7361111111111112;0.0;0.0
1158.0;1.7361111111111112;0.0;0.0
1164.0;2.0833333333333335;0.0;0.0
1170.0;1.7361111111111112;0.0;0.0
1176.0;2.0833333333333335;0.0;0.0
1182.0;1.7361111111111112;0.0;0.0
1188.0;2.7777777777777777;0.0;0.0
1194.0;2.0833333333333335;0.0;0.0
1200.0;1.7361111111111112;0.0;0.0
1206.0;1.7361111111111112;0.0;0.0
1212.0;2.4305555555555554;0.0;0.0
1218.0;2.4305555555555554;0.0;0.0
1224.0;2.4305555555555554;0.0;0.0
1230.0;2.4305555555555554;0.0;0.0
1236.0;2.4305555555555554;0.0;0.0
1242.0;1.7361111111111112;0.0;0.0
1248.0;2.7777777777777777;0.0;0.0
1254.0;2.0833333333333335;0.0;0.0
1260.0;2.0833333333333335;0.0;0.0
1266.0;3.125;0.0;0.0
1272.0;2.0833333333333335;0.0;0.0
1278.0;1.3888888888888888;0.0;0.0
1284.0;1.3888888888888888;0.0;0.0
1290.0;2.4305555555555554;0.0;0.0
1296.0;1.3888888888888888;0.0;0.0
1302.0;2.0833333333333335;0.0;0.0
1308.0;2.0833333333333335;0.0;0.0
1314.0;1.0416666666666667;0.0;0.0
1320.0;2.0833333333333335;0.0;0.0
1326.0;2.4305555555555554;0.0;0.0
1332.0;1.7361111111111112;0.0;0.0
1338.0;2.4305555555555554;0.0;0.0
1344.0;2.7777777777777777;0.0;0.0
1350.0;2.4305555555555554;0.0;0.0
1356.0;2.0833333333333335;0.0;0.0
1362.0;2.0833333333333335;0.0;0.0
1368.0;2.4305555555555554;0.0;0.0
1374.0;2.7777777777777777;0.0;0.0
1380.0;2.4305555555555554;0.0;0.0
1386.0;2.4305555555555554;0.0;0.0
1392.0;1.3888888888888888;0.0;0.0
1398.0;1.0416666666666667;0.0;0.0
1404.0;2.0833333333333335;0.0;0.0
1410.0;2.0833333333333335;0.0;0.0
1416.0;2.7777777777777777;0.0;0.0
1422.0;2.4305555555555554;0.0;0.0
1428.0;2.0833333333333335;0.0;0.0
1434.0;2.0833333333333335;0.0;0.0
1440.0;1.7361111111111112;0.0;0.0
1446.0;2.7777777777777777;0.0;0.0
1452.0;2.4305555555555554;0.0;0.0
1458.0;2.0833333333333335;0.0;0.0
1464.0;1.7361111111111112;0.0;0.0
1470.0;2.0833333333333335;0.0;0.0
1476.0;1.7361111111111112;0.0;0.0
1482.0;2.0833333333333335;0.0;0.0
1488.0;2.0833333333333335;0.0;0.0
1494.0;2.7777777777777777;0.0;0.0
1500.0;2.4305555555555554;0.0;0.0
1506.0;3.125;0.0;0.0
1512.0;0.6944444444444444;0.0;0.0
1518.0;2.4305555555555554;0.0;0.0
1524.0;2.0833333333333335;0.0;0.0
1530.0;2.4305555555555554;0.0;0.0
1536.0;1.7361111111111112;0.0;0.0
1542.0;3.4722222222222223;0.0;0.0
1548.0;1.3888888888888888;0.0;0.0
1554.0;2.0833333333333335;0.0;0.0
1560.0;2.4305555555555554;0.0;0.0
1566.0;3.125;0.0;0.0
1572.0;3.125;0.0;0.0
1578.0;2.7777777777777777;0.0;0.0
1584.0;2.7777777777777777;0.0;0.0
1590.0;2.0833333333333335;0.0;0.0
1596.0;2.0833333333333335;0.0;0.0
1602.0;2.7777777777777777;0.0;0.0
1608.0;2.7777777777777777;0.0;0.0
1614.0;2.4305555555555554;0.0;0.0
1620.0;1.7361111111111112;0.0;0.0
1626.0;2.4305555555555554;0.0;0.0
1632.0;2.4305555555555554;0.0;0.0
1638.0;2.7777777777777777;0.0;0.0
1644.0;1.3888888888888888;0.0;0.0
1650.0;2.7777777777777777;0.0;0.0
1656.0;2.7777777777777777;0.0;0.0
1662.0;1.3888888888888888;0.0;0.0
1668.0;1.7361111111111112;0.0;0.0
1674.0;2.0833333333333335;0.0;0.0
1680.0;2.4305555555555554;0.0;0.0
1686.0;3.125;0.0;0.0
1692.0;1.7361111111111112;0.0;0.0
1698.0;1.0416666666666667;0.0;0.0
1704.0;1.0416666666666667;0.0;0.0
1710.0;1.7361111111111112;0.0;0.0
1716.0;2.4305555555555554;0.0;0.0
1722.0;2.7777777777777777;0.0;0.0
1728.0;1.7361111111111112;0.0;0.0
1734.0;2.0833333333333335;0.0;0.0
1740.0;1.7361111111111112;0.0;0.0
1746.0;2.0833333333333335;0.0;0.0
1752.0;1.7361111111111112;0.0;0.0
1758.0;1.7361111111111112;0.0;0.0
1764.0;2.0833333333333335;0.0;0.0
1770.0;2.4305555555555554;0.0;0.0
1776.0;3.125;0.0;0.0
1782.0;2.0833333333333335;0.0;0.0
1788.0;2.4305555555555554;0.0;0.0
1794.0;0.6944444444444444;0.0;0.0
#auto generated file!
6.0;0.0;0.0;0.0
12.0;0.4166666666666667;0.0;0.0
18.0;0.8333333333333334;0.0;0.0
24.0;0.9722222222222222;0.0;0.0
30.0;0.5555555555555556;0.0;0.0
36.0;0.8333333333333334;0.0;0.0
42.0;0.6944444444444444;0.0;0.0
48.0;0.6944444444444444;0.0;0.0
54.0;0.5555555555555556;0.0;0.0
60.0;0.8333333333333334;0.0;0.0
66.0;1.1111111111111112;0.0;0.0
72.0;0.8333333333333334;0.0;0.0
78.0;0.9722222222222222;0.0;0.0
84.0;0.8333333333333334;0.0;0.0
90.0;0.9722222222222222;0.0;0.0
96.0;0.8333333333333334;0.0;0.0
102.0;0.8333333333333334;0.0;0.0
108.0;1.25;0.0;0.0
114.0;0.9722222222222222;0.0;0.0
120.0;0.9722222222222222;0.0;0.0
126.0;0.6944444444444444;0.0;0.0
132.0;0.8333333333333334;0.0;0.0
138.0;0.4166666666666667;0.0;0.0
144.0;1.25;0.0;0.0
150.0;0.8333333333333334;0.0;0.0
156.0;0.9722222222222222;0.0;0.0
162.0;0.6944444444444444;0.0;0.0
168.0;0.8333333333333334;0.0;0.0
174.0;0.6944444444444444;0.0;0.0
180.0;0.2777777777777778;0.0;0.0
186.0;0.6944444444444444;0.0;0.0
192.0;1.1111111111111112;0.0;0.0
198.0;1.25;0.0;0.0
204.0;1.1111111111111112;0.0;0.0
210.0;1.25;0.0;0.0
216.0;0.5555555555555556;0.0;0.0
222.0;0.5555555555555556;0.0;0.0
228.0;0.4166666666666667;0.0;0.0
234.0;0.9722222222222222;0.0;0.0
240.0;0.9722222222222222;0.0;0.0
246.0;1.25;0.0;0.0
252.0;1.25;0.0;0.0
258.0;0.9722222222222222;0.0;0.0
264.0;0.9722222222222222;0.0;0.0
270.0;0.9722222222222222;0.0;0.0
276.0;1.1111111111111112;0.0;0.0
282.0;0.6944444444444444;0.0;0.0
288.0;1.1111111111111112;0.0;0.0
294.0;0.8333333333333334;0.0;0.0
300.0;1.1111111111111112;0.0;0.0
306.0;0.8333333333333334;0.0;0.0
312.0;0.9722222222222222;0.0;0.0
318.0;0.6944444444444444;0.0;0.0
324.0;0.9722222222222222;0.0;0.0
330.0;0.6944444444444444;0.0;0.0
336.0;0.8333333333333334;0.0;0.0
342.0;1.1111111111111112;0.0;0.0
348.0;1.1111111111111112;0.0;0.0
354.0;0.8333333333333334;0.0;0.0
360.0;1.1111111111111112;0.0;0.0
366.0;0.8333333333333334;0.0;0.0
372.0;0.9722222222222222;0.0;0.0
378.0;0.5555555555555556;0.0;0.0
384.0;0.9722222222222222;0.0;0.0
390.0;0.9722222222222222;0.0;0.0
396.0;1.1111111111111112;0.0;0.0
402.0;1.25;0.0;0.0
408.0;0.9722222222222222;0.0;0.0
414.0;0.9722222222222222;0.0;0.0
420.0;0.6944444444444444;0.0;0.0
426.0;0.8333333333333334;0.0;0.0
432.0;0.2777777777777778;0.0;0.0
438.0;1.25;0.0;0.0
444.0;1.1111111111111112;0.0;0.0
450.0;0.6944444444444444;0.0;0.0
456.0;0.9722222222222222;0.0;0.0
462.0;0.8333333333333334;0.0;0.0
468.0;1.3888888888888888;0.0;0.0
474.0;1.25;0.0;0.0
480.0;0.8333333333333334;0.0;0.0
486.0;0.4166666666666667;0.0;0.0
492.0;0.5555555555555556;0.0;0.0
498.0;0.9722222222222222;0.0;0.0
504.0;0.9722222222222222;0.0;0.0
510.0;0.6944444444444444;0.0;0.0
516.0;0.5555555555555556;0.0;0.0
522.0;0.8333333333333334;0.0;0.0
528.0;0.5555555555555556;0.0;0.0
534.0;0.9722222222222222;0.0;0.0
540.0;0.6944444444444444;0.0;0.0
546.0;0.2777777777777778;0.0;0.0
552.0;0.9722222222222222;0.0;0.0
558.0;0.6944444444444444;0.0;0.0
564.0;0.8333333333333334;0.0;0.0
570.0;0.8333333333333334;0.0;0.0
576.0;0.6944444444444444;0.0;0.0
582.0;0.8333333333333334;0.0;0.0
588.0;0.6944444444444444;0.0;0.0
594.0;1.1111111111111112;0.0;0.0
600.0;0.9722222222222222;0.0;0.0
606.0;0.4166666666666667;0.0;0.0
612.0;0.5555555555555556;0.0;0.0
618.0;0.6944444444444444;0.0;0.0
624.0;0.9722222222222222;0.0;0.0
630.0;0.9722222222222222;0.0;0.0
636.0;0.9722222222222222;0.0;0.0
642.0;1.1111111111111112;0.0;0.0
648.0;0.9722222222222222;0.0;0.0
654.0;0.9722222222222222;0.0;0.0
660.0;0.9722222222222222;0.0;0.0
666.0;0.8333333333333334;0.0;0.0
672.0;0.5555555555555556;0.0;0.0
678.0;0.8333333333333334;0.0;0.0
684.0;1.25;0.0;0.0
690.0;0.5555555555555556;0.0;0.0
696.0;1.1111111111111112;0.0;0.0
702.0;0.4166666666666667;0.0;0.0
708.0;1.1111111111111112;0.0;0.0
714.0;0.9722222222222222;0.0;0.0
720.0;1.25;0.0;0.0
726.0;0.4166666666666667;0.0;0.0
732.0;0.5555555555555556;0.0;0.0
738.0;0.8333333333333334;0.0;0.0
744.0;0.8333333333333334;0.0;0.0
750.0;0.5555555555555556;0.0;0.0
756.0;0.4166666666666667;0.0;0.0
762.0;0.8333333333333334;0.0;0.0
768.0;0.9722222222222222;0.0;0.0
774.0;0.8333333333333334;0.0;0.0
780.0;0.8333333333333334;0.0;0.0
786.0;0.6944444444444444;0.0;0.0
792.0;0.6944444444444444;0.0;0.0
798.0;1.25;0.0;0.0
804.0;0.9722222222222222;0.0;0.0
810.0;1.1111111111111112;0.0;0.0
816.0;0.8333333333333334;0.0;0.0
822.0;0.6944444444444444;0.0;0.0
828.0;0.6944444444444444;0.0;0.0
834.0;1.1111111111111112;0.0;0.0
840.0;1.1111111111111112;0.0;0.0
846.0;1.1111111111111112;0.0;0.0
852.0;0.5555555555555556;0.0;0.0
858.0;0.9722222222222222;0.0;0.0
864.0;0.9722222222222222;0.0;0.0
870.0;1.1111111111111112;0.0;0.0
876.0;0.9722222222222222;0.0;0.0
882.0;0.6944444444444444;0.0;0.0
888.0;0.8333333333333334;0.0;0.0
894.0;0.9722222222222222;0.0;0.0
900.0;1.1111111111111112;0.0;0.0
906.0;0.6944444444444444;0.0;0.0
912.0;1.1111111111111112;0.0;0.0
918.0;0.8333333333333334;0.0;0.0
924.0;0.5555555555555556;0.0;0.0
930.0;0.8333333333333334;0.0;0.0
936.0;0.9722222222222222;0.0;0.0
942.0;0.6944444444444444;0.0;0.0
948.0;0.8333333333333334;0.0;0.0
954.0;0.5555555555555556;0.0;0.0
960.0;0.9722222222222222;0.0;0.0
966.0;0.8333333333333334;0.0;0.0
972.0;1.1111111111111112;0.0;0.0
978.0;0.9722222222222222;0.0;0.0
984.0;0.6944444444444444;0.0;0.0
990.0;0.8333333333333334;0.0;0.0
996.0;0.8333333333333334;0.0;0.0
1002.0;0.8333333333333334;0.0;0.0
1008.0;0.9722222222222222;0.0;0.0
1014.0;1.1111111111111112;0.0;0.0
1020.0;0.8333333333333334;0.0;0.0
1026.0;0.6944444444444444;0.0;0.0
1032.0;0.8333333333333334;0.0;0.0
1038.0;0.1388888888888889;0.0;0.0
1044.0;0.6944444444444444;0.0;0.0
1050.0;1.1111111111111112;0.0;0.0
1056.0;0.9722222222222222;0.0;0.0
1062.0;1.1111111111111112;0.0;0.0
1068.0;0.6944444444444444;0.0;0.0
1074.0;0.9722222222222222;0.0;0.0
1080.0;0.9722222222222222;0.0;0.0
1086.0;1.3888888888888888;0.0;0.0
1092.0;0.8333333333333334;0.0;0.0
1098.0;0.8333333333333334;0.0;0.0
1104.0;0.9722222222222222;0.0;0.0
1110.0;0.2777777777777778;0.0;0.0
1116.0;0.6944444444444444;0.0;0.0
1122.0;1.25;0.0;0.0
1128.0;0.6944444444444444;0.0;0.0
1134.0;1.1111111111111112;0.0;0.0
1140.0;1.1111111111111112;0.0;0.0
1146.0;0.6944444444444444;0.0;0.0
1152.0;1.1111111111111112;0.0;0.0
1158.0;0.9722222222222222;0.0;0.0
1164.0;0.8333333333333334;0.0;0.0
1170.0;0.9722222222222222;0.0;0.0
1176.0;0.4166666666666667;0.0;0.0
1182.0;0.5555555555555556;0.0;0.0
1188.0;0.8333333333333334;0.0;0.0
1194.0;0.9722222222222222;0.0;0.0
1200.0;0.8333333333333334;0.0;0.0
1206.0;0.9722222222222222;0.0;0.0
1212.0;0.9722222222222222;0.0;0.0
1218.0;0.6944444444444444;0.0;0.0
1224.0;0.9722222222222222;0.0;0.0
1230.0;1.1111111111111112;0.0;0.0
1236.0;0.8333333333333334;0.0;0.0
1242.0;1.1111111111111112;0.0;0.0
1248.0;0.9722222222222222;0.0;0.0
1254.0;0.9722222222222222;0.0;0.0
1260.0;0.8333333333333334;0.0;0.0
1266.0;0.8333333333333334;0.0;0.0
1272.0;0.5555555555555556;0.0;0.0
1278.0;0.8333333333333334;0.0;0.0
1284.0;0.6944444444444444;0.0;0.0
1290.0;0.9722222222222222;0.0;0.0
1296.0;1.1111111111111112;0.0;0.0
1302.0;0.8333333333333334;0.0;0.0
1308.0;0.9722222222222222;0.0;0.0
1314.0;1.1111111111111112;0.0;0.0
1320.0;1.1111111111111112;0.0;0.0
1326.0;0.8333333333333334;0.0;0.0
1332.0;0.9722222222222222;0.0;0.0
1338.0;1.25;0.0;0.0
1344.0;0.6944444444444444;0.0;0.0
1350.0;0.9722222222222222;0.0;0.0
1356.0;0.9722222222222222;0.0;0.0
1362.0;0.4166666666666667;0.0;0.0
1368.0;0.8333333333333334;0.0;0.0
1374.0;0.9722222222222222;0.0;0.0
1380.0;1.25;0.0;0.0
1386.0;0.8333333333333334;0.0;0.0
1392.0;0.8333333333333334;0.0;0.0
1398.0;0.8333333333333334;0.0;0.0
1404.0;0.8333333333333334;0.0;0.0
1410.0;1.1111111111111112;0.0;0.0
1416.0;0.6944444444444444;0.0;0.0
1422.0;0.9722222222222222;0.0;0.0
1428.0;0.6944444444444444;0.0;0.0
1434.0;0.9722222222222222;0.0;0.0
1440.0;0.6944444444444444;0.0;0.0
1446.0;0.6944444444444444;0.0;0.0
1452.0;0.8333333333333334;0.0;0.0
1458.0;0.9722222222222222;0.0;0.0
1464.0;0.6944444444444444;0.0;0.0
1470.0;0.9722222222222222;0.0;0.0
1476.0;0.8333333333333334;0.0;0.0
1482.0;0.6944444444444444;0.0;0.0
1488.0;0.4166666666666667;0.0;0.0
1494.0;0.8333333333333334;0.0;0.0
1500.0;1.5277777777777777;0.0;0.0
1506.0;0.6944444444444444;0.0;0.0
1512.0;1.1111111111111112;0.0;0.0
1518.0;0.4166666666666667;0.0;0.0
1524.0;0.8333333333333334;0.0;0.0
1530.0;0.6944444444444444;0.0;0.0
1536.0;1.1111111111111112;0.0;0.0
1542.0;0.5555555555555556;0.0;0.0
1548.0;0.8333333333333334;0.0;0.0
1554.0;0.5555555555555556;0.0;0.0
1560.0;0.4166666666666667;0.0;0.0
1566.0;0.6944444444444444;0.0;0.0
1572.0;0.6944444444444444;0.0;0.0
1578.0;0.6944444444444444;0.0;0.0
1584.0;1.25;0.0;0.0
1590.0;0.9722222222222222;0.0;0.0
1596.0;0.8333333333333334;0.0;0.0
1602.0;0.9722222222222222;0.0;0.0
1608.0;1.1111111111111112;0.0;0.0
1614.0;0.6944444444444444;0.0;0.0
1620.0;1.1111111111111112;0.0;0.0
1626.0;0.9722222222222222;0.0;0.0
1632.0;0.8333333333333334;0.0;0.0
1638.0;1.1111111111111112;0.0;0.0
1644.0;0.9722222222222222;0.0;0.0
1650.0;0.9722222222222222;0.0;0.0
1656.0;0.6944444444444444;0.0;0.0
1662.0;0.8333333333333334;0.0;0.0
1668.0;0.4166666666666667;0.0;0.0
1674.0;0.5555555555555556;0.0;0.0
1680.0;1.1111111111111112;0.0;0.0
1686.0;0.6944444444444444;0.0;0.0
1692.0;0.8333333333333334;0.0;0.0
1698.0;0.6944444444444444;0.0;0.0
1704.0;1.1111111111111112;0.0;0.0
1710.0;1.25;0.0;0.0
1716.0;0.8333333333333334;0.0;0.0
1722.0;0.9722222222222222;0.0;0.0
1728.0;0.5555555555555556;0.0;0.0
1734.0;0.9722222222222222;0.0;0.0
1740.0;0.4166666666666667;0.0;0.0
1746.0;0.9722222222222222;0.0;0.0
1752.0;0.8333333333333334;0.0;0.0
1758.0;1.1111111111111112;0.0;0.0
1764.0;0.9722222222222222;0.0;0.0
1770.0;1.25;0.0;0.0
1776.0;0.9722222222222222;0.0;0.0
1782.0;1.1111111111111112;0.0;0.0
1788.0;1.1111111111111112;0.0;0.0
1794.0;0.8333333333333334;0.0;0.0
